# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CNAG_00013	gene-CNAG_00013	XM_012191073.1	protein_coding	0	0	0	178	0	0	0	0	0	0	0	50	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	60
CNAG_00014	gene-CNAG_00014	XM_012190760.1	protein_coding	0	0	0	159	0	0	0	0	0	0	0	5	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	82
CNAG_00015	gene-CNAG_00015	XM_012191074.1	protein_coding	0	0	0	115	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	107
CNAG_00016	gene-CNAG_00016	XM_012190761.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CNAG_00017	gene-CNAG_00017	XM_012190762.1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	32	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6
CNAG_00018	gene-CNAG_00018	XM_012190763.1	protein_coding	0	0	0	77	0	0	0	0	0	0	0	45	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10
CNAG_00019	gene-CNAG_00019	XM_012191075.1	protein_coding	0	0	0	75	0	0	0	0	0	0	0	42	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	26
CNAG_00020	gene-CNAG_00020	XM_012190764.1	protein_coding	0	0	0	81	0	0	0	0	0	0	0	20	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	31
CNAG_00021	gene-CNAG_00021	XM_012191076.1	protein_coding	0	0	0	69	0	0	0	0	0	0	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	44
CNAG_00022	gene-CNAG_00022	XM_012191077.1	protein_coding	0	0	0	53	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	38
CNAG_00023	gene-CNAG_00023	XM_012191078.1	protein_coding	0	0	0	45	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	29
CNAG_00024	gene-CNAG_00024	XM_012190765.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	14
CNAG_00024	gene-CNAG_00024	XM_012191079.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	14
CNAG_00024	gene-CNAG_00024	XM_012191080.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	14
CNAG_00025	gene-CNAG_00025	XM_012190766.1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12
CNAG_00025	gene-CNAG_00025	XM_012191081.1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12
CNAG_00026	gene-CNAG_00026	XM_012190767.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00026	gene-CNAG_00026	XM_012191082.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00027	gene-CNAG_00027	XM_012190768.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4
CNAG_00028	gene-CNAG_00028	XM_012191083.1	protein_coding	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00028	gene-CNAG_00028	XM_012191084.1	protein_coding	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00029	gene-CNAG_00029	XM_012191085.1	protein_coding	0	0	0	16	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
CNAG_00030	gene-CNAG_00030	XM_012191086.1	protein_coding	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00030	gene-CNAG_00030	XM_012191087.1	protein_coding	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00031	gene-CNAG_00031	XM_012190769.1	protein_coding	0	0	0	19	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
CNAG_00031	gene-CNAG_00031	XM_012191088.1	protein_coding	0	0	0	19	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
CNAG_00032	gene-CNAG_00032	XM_012191089.1	protein_coding	0	0	0	17	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9
CNAG_00033	gene-CNAG_00033	XM_012191090.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CNAG_00034	gene-CNAG_00034	XM_012191091.1	protein_coding	0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6
CNAG_00035	gene-CNAG_00035	XM_012190770.1	protein_coding	0	0	0	29	0	0	0	0	0	0	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7
CNAG_00036	gene-CNAG_00036	XM_012190771.1	protein_coding	0	0	0	23	0	0	0	0	0	0	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8
CNAG_00038	gene-CNAG_00038	XM_012190772.1	protein_coding	0	0	0	26	0	0	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12
CNAG_00039	gene-CNAG_00039	XM_012190773.1	protein_coding	0	0	0	31	0	0	0	0	0	0	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10
CNAG_00040	gene-CNAG_00040	XM_012191092.1	protein_coding	0	0	0	33	0	0	0	0	0	0	0	22	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8
CNAG_00043	gene-CNAG_00043	XM_012191093.1	protein_coding	0	0	0	47	0	0	0	0	0	0	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	12
CNAG_00043	gene-CNAG_00043	XM_012191094.1	protein_coding	0	0	0	47	0	0	0	0	0	0	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	12
CNAG_00044	gene-CNAG_00044	XM_012191095.1	protein_coding	0	0	0	43	0	0	0	0	0	0	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	24
CNAG_00045	gene-CNAG_00045	XM_012191096.1	protein_coding	0	0	0	26	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	19
CNAG_00046	gene-CNAG_00046	XM_012191097.1	protein_coding	0	0	0	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
CNAG_00047	gene-CNAG_00047	XM_012190775.1	protein_coding	0	0	0	18	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11
CNAG_00048	gene-CNAG_00048	XM_012191098.1	protein_coding	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CNAG_00049	gene-CNAG_00049	XM_012191099.1	protein_coding	0	0	0	15	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
CNAG_00050	gene-CNAG_00050	XM_012191100.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00051	gene-CNAG_00051	XM_012191101.1	protein_coding	0	0	0	35	0	0	0	0	0	0	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6
CNAG_00051	gene-CNAG_00051	XM_012191102.1	protein_coding	0	0	0	35	0	0	0	0	0	0	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6
CNAG_00052	gene-CNAG_00052	XM_012191103.1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9
CNAG_00053	gene-CNAG_00053	XM_012190776.1	protein_coding	0	0	0	30	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12
CNAG_00054	gene-CNAG_00054	XM_012191104.1	protein_coding	0	0	0	42	0	0	0	0	0	0	0	26	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12
CNAG_00055	gene-CNAG_00055	XM_012191105.1	protein_coding	0	0	0	41	0	0	0	0	0	0	0	23	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15
CNAG_00056	gene-CNAG_00056	XM_012191106.1	protein_coding	0	0	0	46	0	0	0	0	0	0	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	17
CNAG_00057	gene-CNAG_00057	XM_012191107.1	protein_coding	0	0	0	40	0	0	0	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24
CNAG_00058	gene-CNAG_00058	XM_012191108.1	protein_coding	0	0	0	37	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	22
CNAG_00059	gene-CNAG_00059	XM_012191109.1	protein_coding	0	0	0	31	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	22
CNAG_00060	gene-CNAG_00060	XM_012190777.1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
CNAG_00060	gene-CNAG_00060	XM_012191110.1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
CNAG_00061	gene-CNAG_00061	XM_012191111.1	protein_coding	0	0	0	39	0	0	0	0	0	0	0	22	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	11
CNAG_00062	gene-CNAG_00062	XM_012191112.1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	27	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7
CNAG_00063	gene-CNAG_00063	XM_012191113.1	protein_coding	0	0	0	42	0	0	0	0	0	0	0	27	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11
CNAG_00064	gene-CNAG_00064	XM_012190778.1	protein_coding	0	0	0	43	0	0	0	0	0	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	13
CNAG_00065	gene-CNAG_00065	XM_012191114.1	protein_coding	0	0	0	45	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	22
CNAG_00066	gene-CNAG_00066	XM_012190779.1	protein_coding	0	0	0	71	0	0	0	0	0	0	0	29	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	25
CNAG_00067	gene-CNAG_00067	XM_012191115.1	protein_coding	0	0	0	49	0	0	0	0	0	0	0	23	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	17
CNAG_00068	gene-CNAG_00068	XM_012190780.1	protein_coding	0	0	0	59	0	0	0	0	0	0	0	24	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	29
CNAG_00069	gene-CNAG_00069	XM_012191116.1	protein_coding	0	0	0	45	0	0	0	0	0	0	0	31	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12
CNAG_00070	gene-CNAG_00070	XM_012190781.1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	15	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	10
CNAG_00072	gene-CNAG_00072	XM_012190782.1	protein_coding	0	0	0	49	0	0	0	0	0	0	0	16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	29
CNAG_00073	gene-CNAG_00073	XM_012191117.1	protein_coding	0	0	0	53	0	0	0	0	0	0	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	24
CNAG_00074	gene-CNAG_00074	XM_012191118.1	protein_coding	0	0	0	40	0	0	0	0	0	0	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	11
CNAG_00075	gene-CNAG_00075	XM_012191119.1	protein_coding	0	0	0	39	0	0	0	0	0	0	0	20	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14
CNAG_00076	gene-CNAG_00076	XM_012190783.1	protein_coding	0	0	0	48	0	0	0	0	0	0	0	23	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	17
CNAG_00077	gene-CNAG_00077	XM_012191120.1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	20
CNAG_00078	gene-CNAG_00078	XM_012190784.1	protein_coding	0	0	0	46	0	0	0	0	0	0	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	25
CNAG_00079	gene-CNAG_00079	XM_012191121.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11
CNAG_00080	gene-CNAG_00080	XM_012190785.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	15
CNAG_00081	gene-CNAG_00081	XM_012191122.1	protein_coding	0	0	0	23	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13
CNAG_00082	gene-CNAG_00082	XM_012191123.1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7
CNAG_00083	gene-CNAG_00083	XM_012191124.1	protein_coding	0	0	0	21	0	0	0	0	0	0	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6
CNAG_00084	gene-CNAG_00084	XM_012191125.1	protein_coding	0	0	0	23	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6
CNAG_00085	gene-CNAG_00085	XM_012191126.1	protein_coding	0	0	0	18	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11
CNAG_00086	gene-CNAG_00086	XM_012190786.1	protein_coding	0	0	0	17	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11
CNAG_00087	gene-CNAG_00087	XM_012191127.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
CNAG_00088	gene-CNAG_00088	XM_012191128.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CNAG_00089	gene-CNAG_00089	XM_012191129.1	protein_coding	0	0	0	14	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
CNAG_00090	gene-CNAG_00090	XM_012190787.1	protein_coding	0	0	0	16	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CNAG_00090	gene-CNAG_00090	XM_012191130.1	protein_coding	0	0	0	16	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CNAG_00091	gene-CNAG_00091	XM_012191131.1	protein_coding	0	0	0	57	0	0	0	0	0	0	0	47	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7
CNAG_00092	gene-CNAG_00092	XM_012191132.1	protein_coding	0	0	0	101	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
CNAG_00093	gene-CNAG_00093	XM_012190788.1	protein_coding	0	0	0	131	0	0	0	0	0	0	0	95	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	10
CNAG_00094	gene-CNAG_00094	XM_012191133.1	protein_coding	0	0	0	162	0	0	0	0	0	0	0	40	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	70
CNAG_00095	gene-CNAG_00095	XM_012191134.1	protein_coding	0	0	0	161	0	0	0	0	0	0	0	40	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	103
CNAG_00096	gene-CNAG_00096	XM_012191135.1	protein_coding	0	0	0	82	0	0	0	0	0	0	0	24	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	34
CNAG_00097	gene-CNAG_00097	XM_012191136.1	protein_coding	0	0	0	78	0	0	0	0	0	0	0	29	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	21
CNAG_00098	gene-CNAG_00098	XM_012191137.1	protein_coding	0	0	0	70	0	0	0	0	0	0	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	39
CNAG_00099	gene-CNAG_00099	XM_012191138.1	protein_coding	0	0	0	46	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	25
CNAG_00100	gene-CNAG_00100	XM_012191139.1	protein_coding	0	0	0	34	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
CNAG_00101	gene-CNAG_00101	XM_012191140.1	protein_coding	0	0	0	29	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15
CNAG_00104	gene-CNAG_00104	XM_012191141.1	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	10
CNAG_00105	gene-CNAG_00105	XM_012191142.1	protein_coding	0	0	0	21	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9
CNAG_00106	gene-CNAG_00106	XM_012191143.1	protein_coding	0	0	0	53	0	0	0	0	0	0	0	31	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	8
CNAG_00107	gene-CNAG_00107	XM_012191144.1	protein_coding	0	0	0	54	0	0	0	0	0	0	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17
CNAG_00108	gene-CNAG_00108	XM_012191145.1	protein_coding	0	0	0	67	0	0	0	0	0	0	0	33	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	30
CNAG_00109	gene-CNAG_00109	XM_012191146.1	protein_coding	0	0	0	72	0	0	0	0	0	0	0	33	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	36
CNAG_00109	gene-CNAG_00109	XM_012191147.1	protein_coding	0	0	0	72	0	0	0	0	0	0	0	33	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	36
CNAG_00110	gene-CNAG_00110	XM_012191148.1	protein_coding	0	0	0	68	0	0	0	0	0	0	0	28	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	31
CNAG_00111	gene-CNAG_00111	XM_012191149.1	protein_coding	0	0	0	73	0	0	0	0	0	0	0	31	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	21
CNAG_00115	gene-CNAG_00115	XM_012191150.1	protein_coding	0	0	0	84	0	0	0	0	0	0	0	30	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	45
CNAG_00116	gene-CNAG_00116	XM_012191151.1	protein_coding	0	0	0	87	0	0	0	0	0	0	0	34	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	47
CNAG_00117	gene-CNAG_00117	XM_012190790.1	protein_coding	0	0	0	95	0	0	0	0	0	0	0	33	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	51
CNAG_00118	gene-CNAG_00118	XM_012191152.1	protein_coding	0	0	0	68	0	0	0	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	30
CNAG_00119	gene-CNAG_00119	XM_012190791.1	protein_coding	0	0	0	70	0	0	0	0	0	0	0	26	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	28
CNAG_00120	gene-CNAG_00120	XM_012190792.1	protein_coding	0	0	0	62	0	0	0	0	0	0	0	24	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	30
CNAG_00121	gene-CNAG_00121	XM_012191153.1	protein_coding	0	0	0	99	0	0	0	0	0	0	0	55	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	37
CNAG_00122	gene-CNAG_00122	XM_012191154.1	protein_coding	0	0	0	138	0	0	0	0	0	0	0	82	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	34
CNAG_00123	gene-CNAG_00123	XM_012191155.1	protein_coding	0	0	0	107	0	0	0	0	0	0	0	26	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	50
CNAG_00124	gene-CNAG_00124	XM_012191156.1	protein_coding	0	0	0	112	0	0	0	0	0	0	0	15	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	75
CNAG_00125	gene-CNAG_00125	XM_012190793.1	protein_coding	0	0	0	89	0	0	0	0	0	0	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	54
CNAG_00126	gene-CNAG_00126	XM_012191157.1	protein_coding	0	0	0	41	0	0	0	0	0	0	0	22	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	15
CNAG_00127	gene-CNAG_00127	XM_012190795.1	protein_coding	0	0	0	76	0	0	0	0	0	0	0	42	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	24
CNAG_00128	gene-CNAG_00128	XM_012190796.1	protein_coding	0	0	0	115	0	0	0	0	0	0	0	39	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	25
CNAG_00129	gene-CNAG_00129	XM_012191158.1	protein_coding	0	0	0	94	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	80
CNAG_00130	gene-CNAG_00130	XM_012190797.1	protein_coding	0	0	0	91	0	0	0	0	0	0	0	23	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	64
CNAG_00131	gene-CNAG_00131	XM_012190798.1	protein_coding	0	0	0	46	0	0	0	0	0	0	0	39	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
CNAG_00132	gene-CNAG_00132	XM_012191159.1	protein_coding	0	0	0	57	0	0	0	0	0	0	0	32	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4
CNAG_00132	gene-CNAG_00132	XM_012191160.1	protein_coding	0	0	0	57	0	0	0	0	0	0	0	32	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4
CNAG_00133	gene-CNAG_00133	XM_012191161.1	protein_coding	0	0	0	61	0	0	0	0	0	0	0	19	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	25
CNAG_00134	gene-CNAG_00134	XM_012191162.1	protein_coding	0	0	0	70	0	0	0	0	0	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	36
CNAG_00135	gene-CNAG_00135	XM_012191163.1	protein_coding	0	0	0	55	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	36
CNAG_00136	gene-CNAG_00136	XM_012191164.1	protein_coding	0	0	0	102	0	0	0	0	0	0	0	54	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	32
CNAG_00137	gene-CNAG_00137	XM_012190799.1	protein_coding	0	0	0	112	0	0	0	0	0	0	0	87	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	19
CNAG_00138	gene-CNAG_00138	XM_012191165.1	protein_coding	0	0	0	124	0	0	0	0	0	0	0	88	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	20
CNAG_00139	gene-CNAG_00139	XM_012191166.1	protein_coding	0	0	0	142	0	0	0	0	0	0	0	65	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	31
